SiteID,latitude,longitude,Source,Species
0,-19.125,-39.79166667,Monfredaetal2008,Unknown
1,11.875,76.04166667,Monfredaetal2008,Unknown
2,11.79166667,76.125,Monfredaetal2008,Unknown
3,11.625,76.29166667,Monfredaetal2008,Unknown
4,11.70833333,76.375,Monfredaetal2008,Unknown
5,11.625,75.95833333,Monfredaetal2008,Unknown
6,11.79166667,76.20833333,Monfredaetal2008,Unknown
7,12.04166667,76.04166667,Monfredaetal2008,Unknown
8,-20.375,-42.125,Monfredaetal2008,Unknown
9,11.79166667,76.04166667,Monfredaetal2008,Unknown
10,11.95833333,76.04166667,Monfredaetal2008,Unknown
11,11.70833333,75.95833333,Monfredaetal2008,Unknown
12,11.70833333,76.04166667,Monfredaetal2008,Unknown
13,11.70833333,76.29166667,Monfredaetal2008,Unknown
14,11.70833333,76.45833333,Monfredaetal2008,Unknown
15,11.70833333,76.125,Monfredaetal2008,Unknown
16,11.54166667,76.29166667,Monfredaetal2008,Unknown
17,11.54166667,76.125,Monfredaetal2008,Unknown
18,11.95833333,75.95833333,Monfredaetal2008,Unknown
19,11.79166667,75.875,Monfredaetal2008,Unknown
20,-19.04166667,-39.875,Monfredaetal2008,Unknown
21,-20.625,-41.875,Monfredaetal2008,Unknown
22,-19.29166667,-40.375,Monfredaetal2008,Unknown
23,11.625,76.20833333,Monfredaetal2008,Unknown
24,12.125,76.04166667,Monfredaetal2008,Unknown
25,11.79166667,76.29166667,Monfredaetal2008,Unknown
26,-20.375,-41.70833333,Monfredaetal2008,Unknown
27,15.29166667,-92.625,Monfredaetal2008,Unknown
28,-20.375,-41.95833333,Monfredaetal2008,Unknown
29,-20.45833333,-41.875,Monfredaetal2008,Unknown
30,19.125,-96.95833333,Monfredaetal2008,Unknown
31,-20.45833333,-42.29166667,Monfredaetal2008,Unknown
32,-20.375,-41.625,Monfredaetal2008,Unknown
33,11.625,76.375,Monfredaetal2008,Unknown
34,11.875,75.95833333,Monfredaetal2008,Unknown
35,11.625,76.04166667,Monfredaetal2008,Unknown
36,-19.29166667,-40.54166667,Monfredaetal2008,Unknown
37,-19.375,-40.29166667,Monfredaetal2008,Unknown
38,11.875,76.625,Monfredaetal2008,Unknown
39,-18.95833333,-40.625,Monfredaetal2008,Unknown
40,-20.625,-40.95833333,Monfredaetal2008,Unknown
41,-20.29166667,-41.625,Monfredaetal2008,Unknown
42,11.79166667,76.54166667,Monfredaetal2008,Unknown
43,-18.875,-40.04166667,Monfredaetal2008,Unknown
44,11.625,76.125,Monfredaetal2008,Unknown
45,-20.625,-41.04166667,Monfredaetal2008,Unknown
46,-22.20833333,-45.45833333,Monfredaetal2008,Unknown
47,-19.375,-40.54166667,Monfredaetal2008,Unknown
48,11.70833333,75.875,Monfredaetal2008,Unknown
49,11.79166667,75.95833333,Monfredaetal2008,Unknown
50,-18.875,-40.125,Monfredaetal2008,Unknown
51,11.79166667,75.79166667,Monfredaetal2008,Unknown
52,-19.79166667,-40.875,Monfredaetal2008,Unknown
53,-19.79166667,-40.95833333,Monfredaetal2008,Unknown
54,-20.375,-42.29166667,Monfredaetal2008,Unknown
55,-21.375,-45.625,Monfredaetal2008,Unknown
56,-21.875,-45.29166667,Monfredaetal2008,Unknown
57,-21.375,-45.54166667,Monfredaetal2008,Unknown
58,-19.29166667,-46.20833333,Monfredaetal2008,Unknown
59,-20.625,-42.125,Monfredaetal2008,Unknown
60,11.875,76.125,Monfredaetal2008,Unknown
61,-20.29166667,-41.70833333,Monfredaetal2008,Unknown
62,11.54166667,76.20833333,Monfredaetal2008,Unknown
63,-20.375,-41.875,Monfredaetal2008,Unknown
64,-19.04166667,-40.54166667,Monfredaetal2008,Unknown
65,-21.375,-45.45833333,Monfredaetal2008,Unknown
66,-18.95833333,-40.54166667,Monfredaetal2008,Unknown
67,-18.625,-40.70833333,Monfredaetal2008,Unknown
68,-20.375,-42.20833333,Monfredaetal2008,Unknown
69,-21.29166667,-45.45833333,Monfredaetal2008,Unknown
70,-21.45833333,-46.375,Monfredaetal2008,Unknown
71,-20.45833333,-41.70833333,Monfredaetal2008,Unknown
72,-19.29166667,-40.29166667,Monfredaetal2008,Unknown
73,-21.45833333,-46.45833333,Monfredaetal2008,Unknown
74,19.375,-96.95833333,Monfredaetal2008,Unknown
75,-20.54166667,-41.04166667,Monfredaetal2008,Unknown
76,-19.45833333,-40.54166667,Monfredaetal2008,Unknown
77,-21.70833333,-46.125,Monfredaetal2008,Unknown
78,-18.875,-40.54166667,Monfredaetal2008,Unknown
79,-21.54166667,-45.95833333,Monfredaetal2008,Unknown
80,-21.29166667,-45.54166667,Monfredaetal2008,Unknown
81,-22.125,-45.20833333,Monfredaetal2008,Unknown
82,-20.70833333,-41.79166667,Monfredaetal2008,Unknown
83,20.375,-97.875,Monfredaetal2008,Unknown
84,-20.20833333,-42.125,Monfredaetal2008,Unknown
85,-21.375,-45.20833333,Monfredaetal2008,Unknown
86,15.04166667,-92.20833333,Monfredaetal2008,Unknown
87,15.125,-92.125,Monfredaetal2008,Unknown
88,-21.20833333,-45.45833333,Monfredaetal2008,Unknown
89,-18.54166667,-40.29166667,Monfredaetal2008,Unknown
90,-18.95833333,-40.04166667,Monfredaetal2008,Unknown
91,11.70833333,76.20833333,Monfredaetal2008,Unknown
92,-19.375,-40.375,Monfredaetal2008,Unknown
93,15.20833333,-92.20833333,Monfredaetal2008,Unknown
94,19.125,-96.875,Monfredaetal2008,Unknown
95,-22.125,-46.70833333,Monfredaetal2008,Unknown
96,-21.04166667,-45.04166667,Monfredaetal2008,Unknown
97,-21.375,-45.375,Monfredaetal2008,Unknown
98,-20.20833333,-41.79166667,Monfredaetal2008,Unknown
99,10.625,-85.45833333,Monfredaetal2008,Unknown
100,15.037686,-92.0405,vanOijenetal2022Fig,Unknown
101,14.731869,-91.8768,vanOijenetal2022Fig,Unknown
102,14.550763,-91.2666,vanOijenetal2022Fig,Unknown
103,14.535331,-90.932,vanOijenetal2022Fig,Unknown
104,14.39063,-90.324711,vanOijenetal2022Fig,Unknown
105,10.078936,-84.6457,vanOijenetal2022Fig,Unknown
106,9.635148,-84.025,vanOijenetal2022Fig,Unknown
107,9.759685,-83.8327,vanOijenetal2022Fig,Unknown
108,9.99524,-83.4906,vanOijenetal2022Fig,Unknown
109,9.846119,-83.3392,vanOijenetal2022Fig,Unknown
110,11.920602,86.14105,vanOijenetal2022Fig,Unknown
111,9.895555556,-83.66861111,Noponnetal2013,Unknown
112,11.89833333,-86.14888889,Noponnetal2013,Unknown
113,12.97716,-85.748285,Mercon,Arabica
114,13.468266,-85.560264,Mercon,Arabica
115,13.503367,-85.673171,Mercon,Arabica
116,13.53946,-85.709824,Mercon,Arabica
117,11.799211,-84.4087,Mercon,Robusta
118,11.665415,-84.382637,Mercon,Robusta
119,11.749221,-84.421925,Mercon,Robusta
120,11.768535,-84.375408,Mercon,Robusta
121,11.744916,-84.424746,Mercon,Robusta
122,13.319284,-86.034924,Mercon,Arabica
123,15.676065,-91.766889,Mercon,Arabica
124,15.619671,-91.693777,Mercon,Arabica
125,15.611956,-91.696036,Mercon,Arabica
126,15.676866,-91.751296,Mercon,Arabica
127,15.606442,-91.700371,Mercon,Arabica
